measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - OUTPUT,156018,2021-08-18 7:55:05,7246,Blue Lime Pi 2,4493,Blue Lime PI,1357,203 - Secure storage,12298,Blue Lime Pi 2 Retention Sample,776,Internal Retention Sample,2021-08-18 7:54:17,2021-08-19 7:55:34,1345,Internal Retention Sample,200,g,,,,,,,
WO - OUTPUT,323972,2021-12-31 12:34:29,15534,Space Cake Trials 07/06/21,7869,Space Cake,1356,202 - Post-harvest processing,27170,Space Cake Trimming event,1141,Trimming Work Order,2021-12-31 12:33:19,2021-12-31 16:22:40,819,Dried Cannabis,2418,g,,,,,,,
WO - OUTPUT,251408,2021-11-05 9:06:11,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,20962,Shaq Fu Trial 06/30/21 Harvest #1,430,Harvest,2021-11-05 9:05:38,2021-11-09 9:47:28,762,Fresh Cannabis,8614,g,,,,,,,
WO - OUTPUT,260271,2021-11-10 12:54:33,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,21576,Black Do-Lato Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10 12:54:15,2021-11-11 12:54:48,762,Fresh Cannabis,9132,g,,,,,,,
WO - OUTPUT,260255,2021-11-10 15:48:24,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,21572,Blue Lime Pi 9 07/20/21 Harvest #1,430,Harvest,2021-11-10 8:00:15,2021-11-11 12:50:55,762,Fresh Cannabis,235732,g,,,,,,,
WO - OUTPUT,260273,2021-11-10 12:55:31,15529,Black Hammer Trials 06/30/21,7865,NN5,,,21577,Black Hammer Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10 12:55:10,2021-11-11 12:55:46,762,Fresh Cannabis,3938,g,,,,,,,
WO - OUTPUT,260265,2021-11-10 10:51:41,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,21573,Space Cake Trials 07/06/21 Harvest #1,430,Harvest,2021-11-10 10:51:15,2021-11-11 12:52:01,762,Fresh Cannabis,11774,g,,,,,,,
WO - OUTPUT,260267,2021-11-10 12:52:40,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,21574,Sour Apple Truffle Trial 06/30/21 Harvest #1,430,Harvest,2021-11-10 12:52:16,2021-11-11 12:52:55,762,Fresh Cannabis,5440,g,,,,,,,
WO - OUTPUT,260269,2021-11-10 12:53:35,15531,Soul Magic Trials 06/30/21,7863,NN3,,,21575,Soul Magic Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10 12:53:11,2021-11-11 12:53:49,762,Fresh Cannabis,4350,g,,,,,,,
WO - OUTPUT,260275,2021-11-10 12:56:20,15528,Black Wine Trials 06/30/21,7866,NN6,,,21578,Black Wine Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10 12:56:00,2021-11-12 13:33:42,762,Fresh Cannabis,5264,g,,,,,,,
WO - OUTPUT,331196,2021-12-29 10:15:23,16037,Mango Merengue 08/26/21,7907,Mango Merengue,1356,202 - Post-harvest processing,26740,Trimming Work Order,1141,Trimming Work Order,2021-12-28 11:47:43,2022-01-06 10:16:56,819,Dried Cannabis,54750,g,,,,,,,
WO - OUTPUT,294859,2021-12-08 9:18:04,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,24252,Mango Merengue 08/26/21 Drying #1,446,Drying,2021-11-25 15:00:37,2021-12-08 9:19:58,819,Dried Cannabis,55912,g,,,,,,,
WO - OUTPUT,347913,2021-12-10 21:16:39,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1357,203 - Secure storage,24915,200g BLP #9 Internal Retention Sample,776,Internal Retention Sample,2021-12-10 13:32:57,2022-01-20 9:17:00,1345,Internal Retention Sample,200,g,,,,,,,
WO - OUTPUT,275711,2021-11-24 13:47:33,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,,,23070,Blue Lime Pi 9 07/20/21 Drying #1,446,Drying,2021-11-11 15:42:56,2021-11-24 13:48:12,819,Dried Cannabis,51198,g,,,,,,,
WO - OUTPUT,279051,2021-11-25 16:00:57,16037,Mango Merengue 08/26/21,7907,Mango Merengue,,,23342,Mango Merengue 08/26/21 Harvest #1,430,Harvest,2021-11-25 9:28:08,2021-11-25 16:30:29,762,Fresh Cannabis,292610,g,,,,,,,
WO - OUTPUT,281244,2021-11-25 12:13:47,15528,Black Wine Trials 06/30/21,7866,NN6,,,23526,Black Wine Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:13:10,2021-11-25 12:13:59,819,Dried Cannabis,1230,g,,,,,,,
WO - OUTPUT,281272,2021-11-25 12:32:54,15529,Black Hammer Trials 06/30/21,7865,NN5,,,23539,Black Hammer Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:31:58,2021-11-25 12:33:02,819,Dried Cannabis,1148,g,,,,,,,
