performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-11-10 20:53:22,2021-11-11 20:53:25,Reductions - Growth Stage,15531,Soul Magic Trials 06/30/21,7863,NN3,662,Flowering,21575,Soul Magic Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10T20:53:11.000Z,2021-11-11T20:53:49.124Z,-5
2021-11-10 20:53:22,2021-11-11 20:53:25,Additions - Growth Stage,15531,Soul Magic Trials 06/30/21,7863,NN3,570,Harvested,,,,,,,5
2021-11-10 20:54:23,2021-11-11 20:54:24,Reductions - Growth Stage,15530,Black Do-Lato Trials 06/30/21,7864,NN4,662,Flowering,21576,Black Do-Lato Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10T20:54:15.000Z,2021-11-11T20:54:47.868Z,-15
2021-11-10 20:54:23,2021-11-11 20:54:24,Additions - Growth Stage,15530,Black Do-Lato Trials 06/30/21,7864,NN4,570,Harvested,,,,,,,15
2021-11-10 20:55:19,2021-11-11 20:55:20,Reductions - Growth Stage,15529,Black Hammer Trials 06/30/21,7865,NN5,662,Flowering,21577,Black Hammer Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10T20:55:10.000Z,2021-11-11T20:55:46.229Z,-7
2021-11-10 20:55:19,2021-11-11 20:55:20,Additions - Growth Stage,15529,Black Hammer Trials 06/30/21,7865,NN5,570,Harvested,,,,,,,7
2021-11-10 20:56:10,2021-11-11 20:56:11,Reductions - Growth Stage,15528,Black Wine Trials 06/30/21,7866,NN6,662,Flowering,21578,Black Wine Trials 06/30/21 Harvest #1,430,Harvest,2021-11-10T20:56:00.000Z,2021-11-12T21:33:41.530Z,-9
2021-11-10 20:56:10,2021-11-11 20:56:11,Additions - Growth Stage,15528,Black Wine Trials 06/30/21,7866,NN6,570,Harvested,,,,,,,9
2021-11-25 17:28:34,2021-11-26 18:28:41,Reductions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,662,Flowering,23342,Mango Merengue 08/26/21 Harvest #1,430,Harvest,2021-11-25T17:28:08.000Z,2021-11-26T00:30:29.000Z,-504
2021-11-25 17:28:34,2021-11-26 18:28:42,Additions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,570,Harvested,,,,,,,88
2021-11-25 17:28:34,2021-11-26 18:28:42,Additions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,570,Harvested,,,,,,,88
2021-11-25 17:28:34,2021-11-26 18:28:42,Additions - Growth Stage,16037,Mango Merengue 08/26/21,7907,Mango Merengue,570,Harvested,,,,,,,328
